time,theta,theta_ref,tau_out,tau1,tau2,q1,q2,dq1,dq2,z
18.638,-4.868383244774344e-06,0.0,1.9319347073274854e-05,0.000969294927210638,-0.0003576122611933392,-0.24873580694061942,0.15253892924881465,0.019694656646146683,-0.012077887560822951,-0.02789891472810122
18.64,-4.86761325257587e-06,0.0,1.931628803225597e-05,0.0009691414543850349,-0.0003575556403312372,-0.2486964238638783,0.1525147772984822,0.01969153837056222,-0.01207597516622557,-0.027894497409830195
18.642,-4.8668433676162665e-06,0.0,1.931322947824731e-05,0.0009689880058851631,-0.0003574990284173122,-0.24865704702270222,0.152490629172331,0.01968842058803363,-0.012074063075597788,-0.027890080790966783
18.644000000000002,-4.8660735901349256e-06,0.0,1.931017141111651e-05,0.0009688345817065688,-0.000357442425450453,-0.24861767641610524,0.15246648486975325,0.01968530329849461,-0.012072151288870795,-0.02788566487140024
18.646,-4.865303920371239e-06,0.0,1.9307113830750486e-05,0.0009686811818451484,-0.0003573858314295326,-0.2485783120431015,0.15244234439014132,0.019682186501878692,-0.012070239805976159,-0.02788124965101984
18.648,-4.8645343585576595e-06,0.0,1.9304056737027318e-05,0.0009685278062966144,-0.00035732924635341703,-0.24853895390270525,0.1524182077328876,0.01967907019811923,-0.012068328626845813,-0.02787683512971486
18.650000000000002,-4.863764904921436e-06,0.0,1.9301000129822717e-05,0.0009683744550566347,-0.0003572726702209692,-0.24849960199393095,0.1523940748973848,0.019675954387149364,-0.01206641775141205,-0.027872421307374613
18.652,-4.862995559686348e-06,0.0,1.929794400901679e-05,0.0009682211281209496,-0.00035721610303105194,-0.24846025631579316,0.15236994588302558,0.01967283906890206,-0.012064507179607525,-0.02786800818388842
18.654,-4.8622263230744395e-06,0.0,1.9294888374500548e-05,0.0009680678254854933,-0.00035715954478250645,-0.24842091686730655,0.15234582068920285,0.019669724243310135,-0.012062596911365237,-0.027863595759145626
18.656,-4.861457195293878e-06,0.0,1.9291833226126983e-05,0.0009679145471454865,-0.0003571029954742016,-0.24838158364748594,0.15232169931530962,0.01966660991030613,-0.012060686946618535,-0.027859184033035587
18.658,-4.860688176563238e-06,0.0,1.9288778563808153e-05,0.0009677612930972578,-0.0003570464551049677,-0.2483422566553463,0.15229758176073901,0.019663496069822522,-0.012058777285301098,-0.027854773005447673
18.66,-4.859919267083748e-06,0.0,1.9285724387403542e-05,0.0009676080633361293,-0.0003569899236736563,-0.2483029358899027,0.1522734680248843,0.019660382721791523,-0.012056867927346948,-0.02785036267627129
18.662,-4.85915046706531e-06,0.0,1.9282670696824104e-05,0.0009674548578583839,-0.00035693340117908185,-0.2482636213501704,0.15224935810713894,0.019657269866145285,-0.012054958872690417,-0.027845953045395836
18.664,-4.858381776698742e-06,0.0,1.927961749192063e-05,0.000967301676659171,-0.00035687688762009743,-0.2482243130351648,0.1522252520068964,0.019654157502815666,-0.012053050121266172,-0.02784154411271075
18.666,-4.857613196183538e-06,0.0,1.9276564772594844e-05,0.0009671485197346099,-0.0003568203829955291,-0.24818501094390133,0.1522011497235504,0.01965104563173443,-0.01205114167300919,-0.027837135878105476
18.668,-4.856844725708784e-06,0.0,1.92735125387226e-05,0.0009669953870803084,-0.00035676388730420826,-0.24814571507539565,0.1521770512564947,0.01964793425283315,-0.012049233527854763,-0.02783272834146948
18.67,-4.856076365465298e-06,0.0,1.927046079020229e-05,0.0009668422786923028,-0.00035670740054494243,-0.24810642542866357,0.1521529566051232,0.019644823366043278,-0.012047325685738483,-0.02782832150269224
18.672,-4.855308115636961e-06,0.0,1.926740952691972e-05,0.0009666891945663675,-0.0003566509227165478,-0.24806714200272098,0.15212886576883,0.01964171297129612,-0.01204541814659624,-0.027823915361663263
18.674,-4.854539976404185e-06,0.0,1.9264358748761763e-05,0.0009665361346982955,-0.0003565944538178297,-0.24802786479658392,0.15210477874700928,0.019638603068522817,-0.012043510910364218,-0.027819509918272055
